"number","date","name","vertical","sub_vertical","location","investor_name","investment_type","usd","remarks"
555,"22/11/2016","Awesummly","Consumer Internet","Short News Mobile App","Bangalore","Vivek Bhargava, Ameera Shah","Seed Funding",147000,NA
556,"22/11/2016","VoLT","Consumer Internet","Ed-Tech Platform","Mumbai","YMS Mobitech","Seed Funding",NA,NA
557,"22/11/2016","Vymo","Technology","SaaS-based predictive analytics platform","Bangalore","Sequoia India","Private Equity",5e+06,NA
558,"22/11/2016","ShubhLoans","Technology","Consumer Finance & Credit Score platform","Bangalore","Sanjai Vohra, V. Bunty Bohra","Seed Funding",NA,NA
559,"22/11/2016","Noddapp","Consumer Internet","App based networking platform","Mumbai","Undisclosed multiple investors","Seed Funding",147000,NA
560,"23/11/2016","Knowlarity","Consumer Internet","Cloud Telephony Platform","Bangalore","Delta Partners, Sequoia India,  Mayfield, Blacksoil, Trifecta Capital","Private Equity",2e+07,NA
561,"23/11/2016","Infisecure","Technology","Bot Protection Solutions","Mumbai","IDG Ventures, Axilor Ventures","Seed Funding",6e+05,NA
562,"23/11/2016","Udaan","eCommerce","B2B Marketplace","Bangalore","Lightspeed Venture Partners India, Lightspeed US","Private Equity",1e+07,NA
563,"24/11/2016","FroyoFit","Consumer Internet","Fitness Discovery Platform","Indore","Dr. Pooja Gandhi","Seed Funding",NA,NA
564,"24/11/2016","Betterplace","Consumer Internet","Background Verification Services","Bangalore","Venture Highway","Seed Funding",NA,NA
565,"24/11/2016","ShareChat","Consumer Internet","Local Language Social Networking Platform","Mumbai","Lightspeed India Partners, SAIF Partners, India Quotient, Venture Highway","Private Equity",4e+06,NA
566,"24/11/2016","UClean","Consumer Internet","Tech Enabled Laundry Service Provider","Gurgaon","Franchise India","Private Equity",NA,NA
567,"24/11/2016","Servify","Consumer Internet","Personal Device Assistant App","Mumbai","Blume Ventures, BEENEXT, Barkawi Holdings GmbH, TM Service Technology Holdings Gmbh, Sreevathsa Prabhakar","Private Equity",NA,NA
568,"25/11/2016","Hubilo","Consumer Internet","End-to-end Event Organizers Solutions","Ahmedabad","Girish Mathrubootham, VC Karthic, Miten Mehta, Umasankar Nistala, Rakesh Patel, Akash Bhavsar, Jeevanandhan Rajagopal, Vikas Chadha & Others","Seed Funding",NA,NA
569,"25/11/2016","FunOnGo","Consumer Internet","Digital Media Content and Distribution platform","Mumbai","Reliance Entertainment","Private Equity",NA,NA
570,"25/11/2016","121Policy","Consumer Internet","Online Insurance Platform","Kolkata","Xelpmoc","Seed Funding",NA,NA
571,"26/11/2016","TapChief","Consumer Internet","Professional Expert Advice Platform","Bangalore","Paytm, Aprameya Radhakrishna, Subramanya Venkat, Venk Krishnan","Seed Funding",NA,NA
572,"28/11/2016","Kloseby","Consumer Internet","proximity based  Rewards platform","Bangalore","Undisclosed Investor","Seed Funding",1e+05,NA
573,"28/11/2016","WholeSaleBox","eCommerce","B2B Wholesale Apparel Marketplace","Jaipur","Manish Maheshwari, Contrarian Vriddhi Fund","Private Equity",2e+06,NA
574,"29/11/2016","Crossahead","Consumer Internet","Creative Artists Discovery & Booking platform","Noida","Mohit Sharma","Seed Funding",NA,NA
575,"29/11/2016","Affordplan","Consumer Internet","Savings platform for Medical Expenses","New Delhi","Prime Venture Partners, Kalaari Capital","Private Equity",3e+06,NA
576,"30/11/2016","HandyTrain","Consumer Internet","Mobile App for SAAS based Training","Goa","Silver Range Investments, Lumina Datamatics, Shun Yoshida & Others","Private Equity",1e+06,NA
577,"30/11/2016","ShopsUp","eCommerce","Hyperlocal Shopping App","Bangalore","Anand Sankeshwar, Yang Shu","Seed Funding",963000,NA
578,"30/11/2016","Indofash","eCommerce","Ethnic Indian Fashion Marketplace","Bangalore","Shekhar Sahu, Nitesh Pant","Seed Funding",150000,NA
579,"30/11/2016","Entropika","Technology","AI, Machine learning Solutions","Bangalore","Dileep Bhatt, Milind Chaudhary","Seed Funding",2e+05,NA
580,"30/11/2016","MarianaIQ","Technology","AI-driven B2B marketing platform","Bangalore","Exfinity Venture Partners","Private Equity",2e+06,NA
581,"30/11/2016","Chai Thela","Food & Beverage","Quick Service Restaurants","Noida","Quarizon","Seed Funding",218000,NA
582,"30/11/2016","Interviewpad","Technology","Engineering Interview facilitation platform","Pune","Krishna Rokhale","Seed Funding",1e+05,NA
583,"30/11/2016","Math Buddy","Consumer Internet","Online Math Learn","Vadodara","Menterra Social Impact Fund","Seed Funding",440000,NA
584,"30/11/2016","Pulse","Consumer Internet","Campus Social Networking App","Bangalore","SAIF Partners","Private Equity",5e+05,NA
585,"30/11/2016","MonkeyBox","Consumer Internet","Healthy Food Delivery platform","Bangalore","Blume Ventures & Others","Seed Funding",NA,NA
586,"30/11/2016","Carcrew.in","Consumer Internet","Online Car repair Marketplace","Mumbai","TVS Group","Seed Funding",5e+05,NA
587,"03/10/2016","MeraKisan","eCommerce","Fruit & vegetable eTailer","Bangalore","Mahindra Univeg","Seed Funding",NA,NA
588,"03/10/2016","Mystifly","Consumer Internet","Airline Ticket Aggregator","Bangalore","Recruit Holdings","Private Equity",5e+06,NA
589,"03/10/2016","HelpChat","Consumer Internet","AI Powered Content & Commerce platform","Bangalore","American Express Ventures, Sequoia Capital","Private Equity",NA,NA
590,"03/10/2016","Uniphore","Technology","Speech Recognition Solutions","Chennai","IDG Ventures, Indian Angel Network (IAN), YourNest Angel Fund","Private Equity",2e+06,NA
591,"03/10/2016","World Art Community","eCommerce","Art & Craft Marketplace","Gurgaon","Viraj Tyagi & Others","Seed Funding",2e+05,NA
592,"04/10/2016","Giftxoxo","eCommerce","Online Gifting platform","Bangalore","Mahindra Holidays & Resorts India Ltd","Private Equity",450000,NA
593,"04/10/2016","Bharat Bazaar","eCommerce","Online B2B Marketplace","Mumbai","BeeNext, TV Mohandas Pai, Kunal Shah, Sandeep Tandon","Seed Funding",NA,NA
594,"04/10/2016","GOQii","Consumer Internet","Health & Fitness Wearable Device","Mumbai","Ratan Tata","Private Equity",NA,NA
595,"04/10/2016","India Gifts Portal","eCommerce","Online Gifting platform","Noida","Naveen Arya, Tarun Joshi","Private Equity",2e+06,NA
596,"04/10/2016","Moglix","eCommerce","Industrial & Home products marketplace","Noida","Accel Partners, Jungle Ventures, SeedPlus","Private Equity",4200000,NA
597,"04/10/2016","NetLinx","Consumer Internet","Internet Service Provider","Hyderabad","Xchange Investors NV, TransGlobal FZC","Private Equity",3e+06,NA
598,"04/10/2016","Scandid","Consumer Internet","Product Shopping Comparison App","Pune","3One4 Capital","Private Equity",NA,NA
599,"04/10/2016","Remitr","Consumer Internet","Foreign Currency Payments Platform","Mumbai","Vijay Shekhar Sharma, Pravin Gandhi,  Smart Start Fund; Kunal Shah,  Sandeep Tandon, Vishal Gondal, & Others","Seed Funding",1e+06,NA
600,"04/10/2016","InnerChef","Consumer Internet","Online food ordering platform","Gurgaon","Mistletoe, M&S Partners","Private Equity",2500000,NA
601,"04/10/2016","AppsDaily","Consumer Internet","Mobile Phone Theft, Damage Protection platform","Mumbai","Zodius Capital, Kalaari Capital, Qualcomm Ventures, Russian venture capital fund Ru-Net, Mumbai Angels","Private Equity",3750000,NA
602,"05/10/2016","MuhurtMaza","Consumer Internet","Online Puja Booking Service","Pune","Undisclosed Investor","Seed Funding",NA,NA
603,"05/10/2016","Azuro","Consumer Internet","Rental Property Finder platform","Mumbai","White Unicorn Ventures, Kae Capital, Mumbai Angels","Private Equity",NA,NA
604,"05/10/2016","NeuroSynaptic","Technology","Remote Healthcare Delivery Solutions","Bangalore","Indian Angel Network, Healthsquad, Axilor Ventures","Private Equity",NA,NA
605,"05/10/2016","UE LifeSciences","Technology","Mobile Health Technology Solutions","Mumbai","Kiran Mazumdar-Shaw, Unitus Seed Fund","Private Equity",1200000,NA
606,"06/10/2016","FindmeaShoe","Consumer Internet","Footwear Recommendation App","Bangalore","Ventureast Fund Advisors","Seed Funding",NA,NA
607,"06/10/2016","RealBox","Technology","Data Sciences Platform","Noida","Hyderabad Angels","Seed Funding",3e+05,NA
608,"06/10/2016","Sportido","Consumer Internet","Sports Discovery platform","Noida","Sumpoorna Group","Seed Funding",NA,NA
609,"06/10/2016","GoZefo","eCommerce","Used Furniture & Appliances Marketplace","Bangalore","Helion Venture Partners, BeeNext","Private Equity",1050000,NA
610,"07/10/2016","RayIOT","Technology","Baby Monitoring Devices manufacturer","Bangalore","HAX Accelerator","Seed Funding",1e+05,NA
611,"07/10/2016","KOOH Sports","Technology","Sports Training & Technology","Mumbai","HDFC, Faering Capital, Elevate Sports","Private Equity",2200000,NA
612,"07/10/2016","Flexiloans","Consumer Internet","Online Funds Raising Platform","Mumbai","Sanjay Nayar, Vikram Sud, Anil Jaggia, Narayan Seshadri","Private Equity",1.5e+07,NA
613,"07/10/2016","Sibia Analytics","Technology","Marketing & Customer Analytics Solutions","Kolkata","Radhakrishnan Natarajan & Others","Seed Funding",NA,NA
614,"10/10/2016","Vithi.com","eCommerce","Online Hair Extension etailer","New Delhi","undisclosed investor","Seed Funding",375000,NA
615,"11/10/2016","Yupp TV","Consumer Internet","Internet-based TV streaming service provider","Bangalore","Emerald Media","Private Equity",5e+07,NA
616,"11/10/2016","Deyor Camps","Consumer Internet","Branded Camping location Aggregator","Gurgaon","Nitin Passi, Manickam Mahalingam, Udaan Angels, Rajesh Arora, Arkas Industries","Seed Funding",5e+05,NA
617,"12/10/2016","ZipLoan","Consumer Internet","online lending platform","New Delhi","GrowX Ventures, Sunil Kalra, Arun Venkatachalam,  Badal Malick","Seed Funding",NA,NA
618,"13/10/2016","FabAlley","ecommerce","online fashion brand store","Noida","India Quotient, FAO Ventures, Indian Angel Network, Tushar Singh, Ranjan Sharma","Private Equity",2e+06,NA
619,"13/10/2016","Shoekonnect","eCommerce","B2B Marketplace for Shoes","Agra","Indian Angel Network","Seed Funding",NA,NA
620,"13/10/2016","Maya","Consumer Internet","Womens Health Tracker App","Bangalore","Rajan Anandan","Seed Funding",NA,NA
621,"13/10/2016","RoboVac","Technology","waterless car washing solution","Ahmedabad","Virendra Patel","Seed Funding",450000,NA
622,"14/10/2016","Newspatrolling","Consumer Internet","Online News portal","New Delhi","Undisclosed","Seed Funding",25000,NA
623,"14/10/2016","Postman","Consumer Internet","API Platform","Bangalore","Nexus Venture Partners","Private Equity",7e+06,NA
624,"14/10/2016","ISFC","Finance","Education Sector Lending","Hyderabad","Gray Matters Capital","Private Equity",6e+06,NA
625,"14/10/2016","BeatRoute","Technology","SAAS based mobile application platform","Gurgaon","Quarizon Consultancy Services LLP","Seed Funding",NA,NA
626,"14/10/2016","Kidsstoppress","Consumer Internet","Parenting and Baby care Platform","Mumbai","Karan Bhagat","Seed Funding",NA,NA
627,"14/10/2016","Innov8","Consumer Internet","Co-Working Spaces aggregator","Bangalore","Punit Soni","Seed Funding",NA,NA
628,"15/10/2016","DailyHunt","Consumer Internet","Vernacular content mobile app","Bangalore","ByteDance, Arun Sarin, Matrix Partners, Sequoia Capital India, Omidyar Network,  Falcon Edge","Private Equity",2.5e+07,NA
629,"15/10/2016","Tazzo Bikes","Consumer Internet","Motorbike rental platform","Hyderabad","DSG Consumer Partners","Seed Funding",227000,NA
630,"15/10/2016","MyKindofJob","Consumer Internet","Internet & Fresher Job platform","Mumbai","Mayank Shah, Shreyans Shah","Seed Funding",1e+06,NA
631,"17/10/2016","Trilyo","Technology","B2B SAAS based product","Bangalore","Vishnu Bhat, Rajiv Lunkad, Naresh Ravindranath","Seed Funding",NA,NA
632,"17/10/2016","Rooter","Consumer Internet","Sports Social Network mobile app","New Delhi","Boman Irani, Dhruv Chitgopekar, Prantik Dasgupta","Seed Funding",NA,NA
633,"17/10/2016","Yumigo","Consumer Internet","App based Travel Discovery and Transactions platform","Gurgaon","Hemant Sahni","Seed Funding",3e+05,NA
634,"17/10/2016","Rentalpha","Others","equipment rental and leasing company","Mumbai","Bravia Capital","Private Equity",1.6e+07,NA
635,"18/10/2016","3Dexter","Technology","3D Printing Solutions for Edu space","New Delhi","Newbie Promoters","Seed Funding",150000,NA
636,"18/10/2016","BabyChakra","Consumer Internet","Parenting and Child Care portal","Mumbai","RoundGlass Partners","Private Equity",NA,NA
637,"18/10/2016","Coppre","eCommerce","Copper based items etailer","Pune","Ganesh Natarajan","Seed Funding",NA,NA
638,"18/10/2016","MySUN","Technology","Solar Energy harnessing products marketplace","Noida","General Catalyst Partners","Private Equity",2500000,NA
639,"18/10/2016","ePathsala","Technology","Cloud based ERP for Accreditation & ICT","Bangalore","Hyderabad Angels, TLabs","Seed Funding",NA,NA
640,"19/10/2016","Furlenco","Consumer Internet","Online Furniture Rental platform","Bangalore","Lightbox Ventures, Axis Capital & Others","Private Equity",3e+07,NA
641,"19/10/2016","Fisdom","Consumer Internet","Personal Wealth Management Platform & App","Bangalore","Saama Capital, Raghunandan G, Aprameya Radhakrishna","Private Equity",1100000,NA
642,"19/10/2016","Actofit","Technology","Wearable Technology platform & devices","Mumbai","Next Orbit Ventures Fund","Private Equity",750000,NA
643,"20/10/2016","Stayology","Consumer Internet","Stay & Travel related services","Bangalore","Ranjan Pai","Seed Funding",NA,NA
644,"20/10/2016","Hipcask","Consumer Internet","Alcoholic beverage discovery platform","Mumbai","Mobikon","Seed Funding",NA,NA
645,"20/10/2016","RailYatri","Consumer Internet","Train Travel Info mobile app","Noida","Helion Ventures, Blume ventures","Private Equity",NA,NA
646,"21/10/2016","ChatOnGo","Consumer Internet","Hyperlocal  Communication Mobile app","Mumbai","Janak Jain","Seed Funding",3e+05,NA
647,"23/10/2016","WOTU","eCommerce","B2B Marketplace for traders","Bangalore","KAE capital","Seed Funding",NA,NA
648,"24/10/2016","Healthians","Consumer Internet","Health Test Discovery & Ordering service","Gurgaon","BEENEXT","Private Equity",3e+06,NA
649,"24/10/2016","Box8","Consumer Internet","Online Food Ordering platform/App","Mumbai","IIFL Seed Ventures Fund, Mayfield Ventures","Private Equity",7500000,NA
650,"25/10/2016","Kredx","eCommerce","Invoice discounting marketplace","Bangalore","Sequoia Capital","Private Equity",6e+06,NA
651,"25/10/2016","CreditMate","Consumer Internet","Credit Report Info platform","Mumbai","India Quotient","Seed Funding",5e+05,NA
652,"25/10/2016","Pickrr","Technology","Courier Logistics & Order management Solutions","New Delhi","Swastika Company Ltd","Seed Funding",NA,NA
653,"25/10/2016","SatvaKart","eCommerce","Online Grocery Etailer","Gurgaon","Nimit Panigrahi","Seed Funding",NA,NA
654,"25/10/2016","SooperMO","Technology","Android utility app suite creator","Gurgaon","Lalit Vase","Seed Funding",1e+05,NA
655,"26/10/2016","OrangeTwig","Consumer Internet","Social Media Marketing platform","New Delhi","Undisclosed investor","Seed Funding",1e+06,NA
656,"26/10/2016","Wooplr","Consumer Internet","Fashion Discovery App","Bangalore","Astarc Ventures, Anand Chandrasekaran","Seed Funding",NA,NA
657,"26/10/2016","The Kettlery","eCommerce","Online Tea Etailer","Ahmedabad","hooting Starts Sports LLP, Franchise India Brands","Private Equity",1e+06,NA
658,"27/10/2016","Idea Bubbles","Consumer Internet","Doctor Consulting platform","Bangalore","1Crowd, Eureka Forbes Ltd, Shapoorji Pallonji & Co. Ltd.","Private Equity",7e+05,NA
659,"27/10/2016","FR8","Technology","Truck Fleet Operation platform","Chennai","Omnivore Partners","Private Equity",971000,NA
660,"27/10/2016","Ather Energy","Technology","Electric Vehicle Manufacturer","Bangalore","Hero MotoCorp","Private Equity",2.7e+07,NA
661,"28/10/2016","Pikkol","Logistics","Relocation Service provider","Bangalore","Ajay Nanavati, Afsal Salu","Seed Funding",NA,NA
662,"29/10/2016","Velmenni","Technology","LiFi based wireless communication provider","New Delhi","Kalaari Capital","Seed Funding",1e+05,NA
663,"29/10/2016","Volta Motors","Technology","Electric Bike Manufacturer","Chennai","Kalaari Capital","Seed Funding",1e+05,NA
664,"29/10/2016","Cyclops","Technology","Clinical and Wearable Diagnostic Product creator","Bangalore","Kalaari Capital","Seed Funding",1e+05,NA
665,"30/10/2016","Impact Analytics","Technology","Business intelligence and data science Startup","Bangalore","Aarin Capital, Michael Herzig, Ashish Lakhanpal","Private Equity",750000,NA
666,"31/10/2016","Talent Next","Consumer Internet","Talent Discovery & Audition management platform","Mumbai","Karanpal Singh & Others","Seed Funding",1e+06,NA
667,"01/9/2016","Mad Street Den","Technology","Artificial Intelligence platform","Chennai","Sequoia India, Exfinity Ventures, growX ventures,","Private Equity",NA,NA
668,"01/9/2016","Mihup","Technology","Personal Digital Assistant","Kolkata","Accel Partners","Private Equity",6700000,NA
669,"01/9/2016","Renowala","eCommerce","Home Improvement Marketplace","Hyderabad","Pradeep Dhobale","Seed Funding",NA,NA
670,"01/9/2016","Lucideus","Technology","IT Risk Assessment and Digital Security Services provider.","New Delhi","Amit Choudhary","Seed Funding",NA,NA
671,"04/9/2016","Trackbizz","Technology","Field Force Automation System","Kochi","Grasshoppers","Private Equity",NA,NA
672,"05/9/2016","Social Quotient","Technology","Platform for Social Causes","Mumbai","Anita Dongre, Yash Dongre, Milind Sarwate","Seed Funding",NA,NA
673,"05/9/2016","Stalk Buy Love","eCommerce","Fashion Apparel eTailer","New Delhi","William Bissel","Seed Funding",NA,NA
674,"06/9/2016","eShakti","eCommerce","Women’s Fashion Apparel eTailer","Chennai","Infina Finance Pvt. Ltd, Uday Kotak","Private Equity",1350000,NA
675,"06/9/2016","CheersOye!","Consumer Internet","Online Gift Vouchers platform","Mumbai","Undisclosed Investors","Seed Funding",5e+05,NA
676,"06/9/2016","Lenskart","eCommerce","Online Eyewear eTailer","New Delhi","PremjiInvest","Private Equity",NA,NA
677,"06/9/2016","BigStylist","Consumer Internet","Hyperlocal doorstep Beauty Services provider","Mumbai","Info Edge (India) Ltd","Private Equity",9e+05,NA
678,"07/9/2016","Zilingo","eCommerce","Online Fashion Retailer","Bangalore/ Bangkok","Venturra Capital, Sequoia India, Susquehanna International Group.  Wavemaker Partners, Beenext, Beenos, Digital Garage","Private Equity",8e+06,NA
679,"07/9/2016","Alternacare","Consumer Internet","Online Doctor Consulting platform","New Delhi","Eros Labs","Seed Funding",5e+05,NA
680,"07/9/2016","Simplilearn","Education","Online Certification programs","Bangalore","InnoVen Capital India","Private Equity",6e+06,NA
681,"07/9/2016","Prozo","eCommerce","Study Material Marketplace","Gurgaon","Earlsfield Capital, Sailender Solanki, Rajiv Solanki","Seed Funding",315000,NA
682,"08/9/2016","TopRankers","Education","Online Test Preparation platform","Bangalore","CareerNet Consulting Pvt. Ltd, Ideation Initiative Pvt. Ltd,","Seed Funding",670000,NA
683,"08/9/2016","BuildTraders","eCommerce","Online Construction Materials Marketplace","Bangalore","Idein Ventures","Seed Funding",2e+05,NA
684,"09/9/2016","Byju’s","Education","Online Learning App","Bangalore","Chan Zuckerberg Initiative, Times Internet Ltd, Sequoia Capital, Sofina, Lightspeed Ventures","Private Equity",5e+07,NA
685,"09/9/2016","NoBroker","Consumer Internet","Online Home Rental platform","Bangalore","Anand Chandrasekaran","Seed Funding",NA,NA
686,"10/9/2016","Freshboxx","eCommerce","Fruits & vegetable eTailer","Hubli","Ravi Linganuri","Seed Funding",NA,NA
687,"10/9/2016","CureInstant","Consumer Internet","Social Health Networking Platform","New Delhi","Dr. Rameshwar Kumar","Seed Funding",150000,NA
688,"10/9/2016","Poshtic","Consumer Internet","Online health & Wellness platform","Noida","havya Sharma, Amit Nagar","Seed Funding",450000,NA
689,"10/9/2016","KarmaCircles","Consumer Internet","Peer-to-peer Social Learning platform","New Delhi","Harinder Takhar, Zain Raj, Dr. Prasad Kaipa, Abaran Deep, Aseem Sood, Mustafa Patni","Seed Funding",NA,NA
690,"12/9/2016","Purple Style Labs","Consumer Internet","Personal Styling Online platform","Mumbai","Augment Ventures, Rahul Kayan, Nikhil Golcha, Shubham Gupta, Roy Kwan","Seed Funding",448000,NA
691,"12/9/2016","Inuxu","Technology","Online Advertising Solutions","Pune","Fork Media","Private Equity",3e+06,NA
692,"12/9/2016","Nykaa","eCommerce","Online Beauty products eTailer","Mumbai","Sunil Munjal, Mariwala family","Private Equity",12300000,NA
693,"12/9/2016","Glam Studios","Consumer Internet","Beauty Salon Aggregator","Noida","Pradeep Mirani, Aqeel Ahmed, Anand Ladsariya, Nitin Agarwal","Seed Funding",3e+05,NA
694,"13/9/2016","Findow","Consumer Internet","Fashion Discovery Mobile app","Bangalore","Raj Singh Bhandal","Seed Funding",NA,NA
695,"13/9/2016","IdeaChakki","Consumer Internet","Restaurant Menu & Food mobile app","Delhi","Ratan Tata","Seed Funding",NA,NA
696,"13/9/2016","ShoeKonnect","eCommerce","Footwear & Leather B2B App","Agra","Indian Angels Network","Seed Funding",NA,NA
697,"13/9/2016","NearBuy","Consumer Internet","Online Deals & Discount platform","Gurgaon","BlackSoil Capital Pvt. Ltd.","Private Equity",2500000,NA
698,"14/9/2016","ZeroInfy","Consumer Internet","Online Video Lectures platform","Kolkata","Calcutta Angels Network","Seed Funding",NA,NA
699,"14/9/2016","Flocareer","Consumer Internet","Jobs & Skill Validation platform","Bangalore","Balasubramanian Krishnamurthy, Sidhartha Hazarika & Others","Seed Funding",150000,NA
700,"14/9/2016","LensPick","eCommerce","eyewear eTailer","Bangalore","Scadea Solutions Inc","Private Equity",NA,NA
701,"15/9/2016","infeedo","Consumer Internet","Employee engagement platform","Gurgaon","Dheeraj Jain, Palash Jain, Anupam Mittal, Ameera Shah,  Vivek Bhargava, Rahul Singh, Ambarish Gupta,","Seed Funding",2e+05,NA
702,"15/9/2016","Furlenco","eCommerce","Online furniture rental startup","Bangalore","Lightbox Ventures and others","Private Equity",5e+06,NA
703,"15/9/2016","GoPigeon","Consumer Internet","on-demand logistics service provider","Bangalore","Nexus Venture Partners","Private Equity",1500000,NA
704,"16/9/2016","NewsDistill","Consumer Internet","City based News Aggregator App","Hyderabad","Ganesh Narasimhan, Ramana Thumu, Sudhir Mallem","Seed Funding",1e+05,NA
705,"16/9/2016","DoctorInsta","Consumer Internet","Online Doctor Consultations","Gurgaon","RoundGlass Partners","Private Equity",1e+06,NA
706,"19/9/2016","Milofy","Consumer Internet","Couple Socialization App","Bangalore","Accel Partners","Seed Funding",750000,NA
707,"19/9/2016","Liqvid","Technology","Integrated eLearning content solutions","New Delhi","Gray Matters Capital","Private Equity",NA,NA
708,"19/9/2016","Swiggy","Consumer Internet","Online Food Ordering & Delivery","Bangalore","Bessemer Venture Partners","Private Equity",1.5e+07,NA
709,"20/9/2016","Codemojo","Consumer Internet","Customer Engagement Platform","Bangalore","CIO Angel Network","Seed Funding",NA,NA
710,"20/9/2016","JustLikeNew","eCommerce","Online gadget Repair Services Marketplace","Hyderabad","LetsVenture","Seed Funding",5e+05,NA
711,"20/9/2016","JoeHukum","Technology","Enterprise customer engagement solutions","New Delhi","Sumit Jain","Seed Funding",NA,NA
712,"21/9/2016","Co Life","Consumer Internet","shared living and working spaces platform","Bangalore","Undisclosed Investors","Seed Funding",1e+06,NA
713,"21/9/2016","PurpleDocs","Consumer Internet","Electronic Health care records platform","Vadodara","KellyGamma, Lead Angels & Others","Seed Funding",NA,NA
714,"21/9/2016","Pepperfry","eCommerce","Furniture eTailer","Mumbai","Goldman Sachs Group, Zodius Technology Fund, Norwest Venture Partners, Bertelsmann India","Private Equity",31300000,NA
715,"21/9/2016","eQuickies","eCommerce","Online Book etailer","Ahmedabad","Lothal Angel Ventures","Seed Funding",298000,NA
716,"21/9/2016","Khel Now","Consumer Internet","Mobile-based social networking platform","New Delhi","Anglian Omega Network","Seed Funding",350000,NA
717,"22/9/2016","Gadgetwood","Consumer Internet","On-Demand Gadget repair services platform","New Delhi","Carpediem Capital","Private Equity",6e+06,NA
718,"22/9/2016","DailyRounds","Consumer Internet","Mobile App for Doctors","Bangalore","Accel Partners, Beenext, Powerhouse Ventures, Akusa Holdings","Private Equity",NA,NA
719,"22/9/2016","Flixy Games","Technology","Mobile Game Publisher for Indian audience","Bangalore","Rebright Partners","Seed Funding",425000,NA
720,"22/9/2016","HashTaag","Technology","Mobile App Development company","Bangalore","Undisclosed investors","Seed Funding",1e+06,NA
721,"22/9/2016","PharmaRack","Technology","SAAS application for Pharma Industry","Pune","Currae Healthtech Fund, Unicorn India Ventures","Private Equity",745000,NA
722,"23/9/2016","CloudCherry","Technology","CRM SAAS Platform","Chennai","Vertex Ventures, Cisco Ventures, IDG Ventures","Private Equity",6e+06,NA
723,"23/9/2016","Parentlane","Consumer Internet","Social Platform for babycare and parenting","Bangalore","Rohit MA","Seed Funding",NA,NA
724,"23/9/2016","First Moms Club","Consumer Internet","Social Network for Mothers","Mumbai","Idea Wave Labs","Seed Funding",NA,NA
725,"23/9/2016","inMotion","Technology","Financial platform for daily wage earning communities","Noida","Prashant Tandon, Gaurav Agarwal, Gaurav Bhogle, Shrishti Sahu, Shantanu Mathur, Prabhat Aggarwal","Seed Funding",NA,NA
726,"26/9/2016","Let’s Barter","Consumer Internet","Goods & Services Barter Platform","New Delhi","Scale Ventures Funds","Seed Funding",NA,NA
727,"26/9/2016","EvenGini","Consumer Internet","Event Registration and Ticketing platform","Chennai","Procam International Pvt. Ltd","Private Equity",NA,NA
728,"27/9/2016","TinyStep","Consumer Internet","Parenting Network Platform","Bangalore","Flipkart Logistics Pvt. Ltd","Private Equity",1580000,NA
729,"27/9/2016","Canvs","Consumer Internet","Community Platform for Artists and Designers","Mumbai","Pratik Seal","Seed Funding",NA,NA
730,"28/9/2016","Beardo","eCommerce","Mens Grooming products etailer","Ahmedabad","Venture Catalysts","Seed Funding",5e+05,NA
731,"28/9/2016","Instacar","Consumer Internet","Out-Station Taxi Rental Platform","Indore","Swastika Co Ltd.","Seed Funding",1e+06,NA
732,"28/9/2016","Celes Care","Consumer Internet","Virtual Health Clinic for Women","Hyderabad","Endiya Partners","Seed Funding",1e+06,NA
733,"28/9/2016","Druva","Technology","Cloud Based Data Protection Solution","Pune","Sequoia India, EDBI, Blue Cloud Ventures, Hercules Capital","Private Equity",5.1e+07,NA
734,"29/9/2016","Promon","eCommerce","Local Commerce Platform","New Delhi","Now Capital","Seed Funding",180000,NA
735,"29/9/2016","Fastudent","eCommerce","Education eCommerce platform","Noida","Kanwaljit Singh, Ajay Lakhotia, Pavan Ongole, Ashish Gupta","Seed Funding",NA,NA
736,"29/9/2016","Unocoin","Consumer Internet","Bitcoin Wallet","Bangalore","Blume Ventures, Mumbai Angels, ah! Ventures, Digital Currency Group, Boost VC, Bank to the Future and Funders Club","Private Equity",1500000,NA
737,"30/9/2016","Demyto","Consumer Internet","Vehicle maintenance Services platform","Pune","Deepak Nathani","Seed Funding",NA,NA
738,"30/9/2016","Zeta","Technology","Enterprise Cloud Solutions","Mumbai","Bhavin Turakhia","Private Equity",1.9e+07,NA
739,"30/9/2016","Kalaage","Consumer Internet","Social Networking Platform for Writers","Jaipur","Rajasthan Angel Innovators Network","Seed Funding",NA,NA
740,"01/8/2016","HealthKart","eCommerce","Online Pharmacy & Health Marketplace","Gurgaon","Sequoia Capital India, Omidyar Network, Kae Capital","Private Equity",1.2e+07,NA
741,"01/8/2016","Medinfi","Consumer Internet","Doctor & Clinic  Discovery Platform","Bangalore","Mudit Saxena, Evan Lim","Seed Funding",2e+05,NA
742,"01/08/2016","RepairEasy","Consumer Internet","Gadget Repair Services Platform","Pune","Undisclosed HNIs","Seed Funding",275000,NA
743,"01/08/2016","Voonik","eCommerce","Online Women’s Fashion Marketplace","Bangalore","InnoVen Capital","Private Equity",3e+06,NA
744,"01/08/2016","Tokri","Consumer Internet","Hyperlocal Grocery Delivery platform","Pune","Syska LED group","Private Equity",2500000,NA
745,"02/08/2016","Sheroes","Consumer Internet","Online Job and Career Platform for Women","Noida","Lumis Partners, The HR Fund, Rajul Garg, Quintillion Media","Private Equity",1800000,NA
