"DepartmentGroupNumber","GroupSize","PercentMale","BAME","NumberTeamLeads","NumberFeMaleTeamLeads","Location","LondonorNot","Function","EMPsurvEngage_1","EMPsurvEngage_2","EMPsurvEngage_3","EMPsurvEngage_4","EMPsurvEngage_5","EMPsurvEngage_6","EMPsurvEngage_7","EMPsurvEngage_8","EMPsurvEngage_9","EMPsurvEngagement","EMPorgIntegrity1","EMPorgIntegrity2","EMPorgIntegrity3","EMPorgIntegrity4","EMPorgIntegrity5","EmpSurvOrgIntegrity","EMPsurvSUP1","EMPsurvSUP2","EMPsurvSUP3","EMPsurvSUP4","EmpSurvSupervisor"
195,13,45,0,2,0,2,1,2,100,69,92,92,100,62,92,62,69,82,77,85,92,85,195,106.8,54,54,38,46,48
212,18,67,0,3,1,3,2,1,83,94,89,50,83,56,89,83,83,79,56,78,94,94,212,106.8,72,83,61,61,69.25
213,11,56,0,2,1,3,2,1,100,100,100,82,100,64,91,82,91,90,82,100,100,100,213,119,100,100,100,100,100
215,61,54,0,9,3,3,2,2,85,95,97,77,100,72,97,92,90,89,62,93,95,28,215,98.6,75,79,70,70,73.5
226,18,50,0,3,0,1,1,2,94,100,100,72,100,83,94,89,100,93,89,100,100,89,226,120.8,100,100,89,89,94.5
243,22,67,0,3,0,3,2,2,100,86,76,71,90,67,90,52,67,78,62,76,90,67,243,107.6,86,86,76,81,82.25
249,28,87,0,4,1,3,2,1,93,79,79,57,96,57,86,57,64,74,79,86,96,86,249,119.2,89,89,82,86,86.5
252,30,49,0,4,0,3,2,1,100,100,100,87,93,87,97,67,90,91,53,90,93,70,252,111.6,87,93,73,83,84
269,20,35,0,3,0,3,2,2,100,100,95,90,95,80,95,60,85,89,80,95,95,95,269,126.8,95,100,100,95,97.5
273,24,48,0,3,2,3,2,1,100,100,100,75,100,79,88,79,96,91,67,87,96,96,273,123.8,71,67,63,54,63.75
274,23,65,0,3,0,3,2,1,96,91,87,65,100,65,91,65,78,82,70,70,87,87,274,117.6,87,78,78,74,79.25
293,51,33,0,7,2,2,1,2,98,94,94,86,98,88,96,80,96,92,73,92,96,80,293,126.8,88,86,84,90,87
304,39,100,0,6,NA,2,1,1,69,74,56,79,85,64,100,77,62,74,67,82,82,85,304,124,74,79,62,69,71
305,25,85,0,4,0,2,1,1,72,68,52,80,80,56,100,76,68,72,68,80,76,84,305,122.6,76,80,64,64,71
323,54,56,0,8,0,3,2,2,76,63,65,59,85,61,89,78,57,70,74,80,80,91,323,129.6,83,81,68,83,78.75
324,59,88,0,8,0,3,2,1,80,64,39,64,80,44,86,63,46,63,68,73,75,83,324,124.6,78,56,64,80,69.5
325,58,45,0,8,2,3,2,1,72,72,55,52,88,41,93,84,55,68,62,72,69,77,325,121,78,66,72,74,72.5
343,31,100,0,4,0,3,2,1,94,100,97,68,84,65,90,65,87,83,61,94,100,94,343,138.4,90,97,90,90,91.75
347,14,67,0,2,0,3,2,1,93,86,86,71,100,79,100,71,79,85,79,86,93,93,347,139.6,79,100,71,71,80.25
349,19,61,0,3,0,3,2,2,95,95,100,63,89,42,95,79,89,83,79,89,100,89,349,141.2,74,89,74,68,76.25
365,11,56,0,2,2,3,2,1,100,64,55,73,73,27,45,36,55,59,27,73,73,73,365,122.2,73,73,73,91,77.5
366,37,65,0,5,1,3,2,1,84,65,62,62,84,41,68,41,51,62,46,76,84,70,366,128.4,86,84,81,76,81.75
378,10,45,0,1,0,2,1,2,90,70,60,70,80,50,70,40,60,66,20,60,60,50,378,113.6,50,60,70,40,55
386,19,76,0,3,0,2,1,1,89,100,95,74,89,79,79,37,74,80,47,84,89,89,386,139,89,79,89,95,88
387,60,65,0,9,0,2,1,1,93,90,95,90,93,67,88,58,87,85,80,97,98,95,387,151.4,95,82,88,98,90.75
408,39,35,0,6,0,3,2,2,100,97,92,79,97,72,100,79,82,89,72,87,92,82,408,148.2,95,87,95,97,93.5
422,36,15,0,5,2,3,2,2,100,100,100,83,100,72,100,83,100,93,72,94,89,86,422,152.6,83,94,89,92,89.5
436,41,56,0,6,0,3,2,2,100,98,95,88,100,90,100,93,93,95,78,95,98,95,436,160.4,90,83,80,85,84.5
451,18,65,0,3,2,1,1,1,83,78,78,78,94,67,94,50,59,76,67,78,89,83,451,153.6,78,83,83,83,81.75
452,69,65,0,10,2,3,2,1,90,93,96,86,96,77,97,78,83,88,68,83,96,87,452,157.2,87,91,81,83,85.5
454,27,67,0,4,1,3,2,2,78,85,93,85,93,74,93,67,81,83,59,78,96,85,454,154.4,85,93,81,78,84.25
475,17,24,0,2,1,3,2,2,94,100,100,88,100,76,100,76,94,92,94,88,94,100,475,170.2,94,94,94,94,94
481,15,48,0,2,0,3,2,2,87,100,100,93,93,67,100,87,80,90,80,87,100,100,481,169.6,80,100,73,67,80
496,11,48,0,2,0,3,2,2,91,64,64,55,73,55,73,55,64,66,45,82,91,64,496,155.6,73,91,55,64,70.75
506,51,52,0,7,0,3,2,2,100,100,100,94,100,90,98,92,86,96,80,96,100,92,506,174.8,86,94,84,88,88
516,12,62,0,2,0,2,1,1,100,100,100,100,92,92,100,75,92,94,83,100,100,83,516,176.4,83,92,75,83,83.25
517,22,56,0,3,1,2,1,1,95,100,95,100,95,91,91,59,86,90,100,95,100,100,517,182.4,86,95,73,86,85
529,12,65,0,2,0,2,1,1,75,92,100,42,100,67,92,58,83,79,92,100,100,92,529,182.6,67,100,67,67,75.25
530,14,100,0,2,2,3,2,1,100,100,93,93,100,71,100,79,92,92,100,93,100,100,530,184.6,93,100,93,93,94.75
541,46,57,0,7,1,3,2,2,91,96,91,78,98,78,76,70,85,85,72,87,85,87,541,174.4,76,83,74,78,77.75
555,29,65,0,4,1,3,2,2,100,100,97,97,100,100,97,83,100,97,86,97,100,97,555,187,90,100,86,90,91.5
586,57,25,0,8,0,3,2,2,84,74,72,65,81,65,84,82,81,76,44,72,72,74,586,169.6,81,70,75,77,75.75
600,43,4,0,6,5,3,2,2,91,79,74,63,91,44,86,60,84,75,86,79,56,86,600,181.4,86,95,88,91,90
608,38,100,0,5,NA,3,2,1,74,83,74,63,95,53,79,50,53,69,61,76,79,74,608,179.6,87,84,55,71,74.25
609,29,57,0,4,0,3,2,2,83,83,86,69,93,69,79,62,79,78,79,79,79,66,609,182.4,83,86,79,69,79.25
610,10,45,0,1,0,3,2,1,80,90,90,80,100,70,70,80,90,83,90,60,60,70,610,178,80,80,80,70,77.5
619,23,45,0,3,2,2,1,1,96,96,96,96,100,96,91,83,96,94,78,74,78,86,619,187,83,70,83,96,83
620,48,75,0,7,0,2,1,1,90,92,90,81,98,83,94,71,77,86,58,73,83,85,620,183.8,63,54,54,60,57.75
641,52,65,0,7,1,2,1,2,77,85,81,73,88,58,79,52,69,74,50,67,75,67,641,180,62,69,50,56,59.25
655,39,65,0,6,0,3,2,1,100,85,82,82,95,85,90,66,77,85,59,72,77,62,655,185,74,72,82,85,78.25
656,25,100,0,4,2,3,2,1,92,84,80,72,88,64,80,64,72,77,52,68,84,76,656,187.2,72,56,80,84,73
674,13,32,0,2,0,3,2,2,85,92,85,46,100,62,100,62,85,79,77,85,77,100,674,202.6,77,100,77,69,80.75
677,26,76,0,4,0,1,1,1,85,77,81,77,85,42,88,65,81,76,62,81,100,77,677,199.4,85,85,81,88,84.75
679,61,75,0,9,2,3,2,1,89,82,74,62,89,46,87,44,69,71,62,79,85,89,679,198.8,77,87,80,77,80.25
698,17,35,0,2,0,3,2,2,76,88,88,65,88,82,88,59,82,80,41,82,100,76,698,199.4,65,59,47,65,59
700,21,86,0,3,2,3,2,1,76,86,86,71,90,57,86,57,52,74,62,76,90,86,700,202.8,67,90,76,71,76
702,28,84,0,4,1,3,2,1,96,100,96,86,100,75,96,64,75,88,75,89,79,93,702,207.6,89,93,89,82,88.25
708,37,75,0,5,0,3,2,1,78,84,84,84,92,64,86,49,73,77,70,92,89,89,708,209.6,84,95,92,92,90.75
710,24,65,0,3,1,3,2,1,67,96,83,83,87,88,92,50,88,81,79,92,92,96,710,213.8,83,88,83,83,84.25
725,37,82,0,5,0,2,1,1,92,95,84,73,94,73,92,65,84,83,86,95,97,89,725,218.4,95,84,86,95,90
737,14,56,0,2,0,2,1,1,93,93,100,93,100,86,100,79,100,94,86,79,93,79,737,214.8,93,86,93,93,91.25
738,25,25,0,4,0,2,1,2,84,92,96,76,96,76,96,68,80,85,68,96,84,80,738,213.2,72,88,72,68,75
739,28,96,0,4,0,3,2,1,93,82,82,75,82,50,86,61,71,76,71,82,89,100,739,216.2,86,96,86,79,86.75
757,23,76,0,3,0,3,2,1,83,74,65,87,91,74,96,70,70,79,74,83,83,95,757,218.4,91,91,70,68,80
760,21,65,0,3,0,3,2,1,86,90,86,81,100,76,100,81,86,87,86,95,95,86,760,224.4,86,86,71,86,82.25
761,13,87,0,2,2,3,2,1,92,92,100,85,100,69,100,77,92,90,77,100,100,85,761,224.6,92,92,77,77,84.5
785,26,67,0,4,3,3,2,1,100,88,85,69,92,54,92,65,88,82,88,73,65,96,785,221.4,85,88,92,85,87.5
791,25,86,0,4,0,3,2,1,72,52,40,48,68,36,60,40,32,50,60,60,64,84,791,211.8,76,60,48,48,58
792,29,52,0,4,0,3,2,1,83,79,72,76,83,55,83,55,69,73,76,83,59,72,792,216.4,97,93,100,93,95.75
798,64,56,0,9,2,3,2,2,84,81,75,80,89,59,88,61,69,76,64,81,75,83,798,220.2,80,86,77,78,80.25
800,25,86,0,4,0,2,1,1,100,84,76,84,88,52,80,52,72,76,56,76,80,84,800,219.2,76,76,64,80,74
802,22,82,0,3,0,2,1,1,82,77,86,86,82,68,95,73,73,80,77,82,68,86,802,223,73,82,68,73,74
814,10,100,0,1,2,2,1,1,80,70,70,40,100,50,90,50,50,67,50,70,90,80,814,220.8,100,70,70,70,77.5
825,13,100,0,2,0,3,2,1,85,85,92,69,85,69,77,54,69,76,85,85,69,92,825,231.2,100,100,100,92,98
827,34,100,0,5,NA,3,2,1,62,91,94,82,85,74,94,88,82,84,61,88,91,79,827,229.2,82,91,68,73,78.5
842,35,65,0,5,0,3,2,1,89,80,94,83,91,60,97,77,91,85,80,91,97,91,842,240.2,97,94,89,89,92.25
853,23,49,0,3,0,1,1,2,91,100,100,87,100,87,96,91,96,94,100,100,100,100,853,250.6,100,100,96,100,99
855,26,64,0,4,0,3,2,1,96,92,88,77,88,69,81,81,77,83,69,88,92,88,855,238.4,88,85,73,85,82.75
856,32,61,0,5,0,3,2,1,91,94,81,81,91,78,97,56,77,83,41,81,84,56,856,223.6,69,72,81,75,74.25
876,47,96,0,7,0,3,2,1,80,77,72,72,85,64,91,70,72,76,74,89,94,87,876,244,74,87,77,68,76.5
883,21,76,0,3,0,3,2,1,95,90,86,86,100,76,95,76,67,86,62,90,95,100,883,246,100,90,71,67,82
886,13,56,0,2,1,3,2,1,100,100,100,62,100,69,100,85,92,90,77,85,62,92,886,240.4,77,92,92,75,84
900,65,35,0,9,0,3,2,2,84,74,65,63,97,51,92,62,57,72,56,84,91,94,900,245,92,94,85,83,88.5
905,10,86,0,1,0,2,1,1,60,50,60,60,50,30,50,33,44,49,40,70,60,90,905,233,50,70,40,30,47.5
911,26,65,0,4,0,2,1,1,85,58,58,69,77,38,81,50,54,63,50,73,92,77,911,240.6,65,81,69,58,68.25
914,46,57,0,7,1,2,1,1,87,93,91,80,93,67,93,74,72,84,72,87,80,87,914,248,93,96,89,91,92.25
915,61,65,0,9,4,3,2,1,84,77,80,56,82,36,82,61,70,70,61,82,80,90,915,245.6,79,92,82,70,80.75
926,29,75,0,4,0,3,2,1,90,76,83,79,89,69,79,45,69,75,69,83,79,83,926,248,66,86,62,72,71.5
931,58,75,0.01,8,0,3,2,1,70,84,90,86,91,69,86,66,67,79,64,81,81,86,931,248.6,81,97,79,76,83.25
4,43,65,0.02,6,0,3,2,1,93,93,88,60,98,67,88,47,81,80,42,93,98,84,4,64.2,70,67,70,70,69.25
22,40,67,0.02,6,0,3,2,2,90,95,88,78,93,75,90,65,83,84,68,88,90,80,22,69.6,83,73,85,83,81
33,10,57,0.02,1,0,3,2,1,100,100,100,50,100,60,90,70,80,83,70,100,90,70,33,72.6,90,90,100,100,95
61,17,65,0.02,2,2,3,2,1,100,94,94,76,100,76,88,76,94,89,82,100,94,94,61,86.2,100,100,100,100,100
69,24,35,0.02,3,1,3,2,2,100,100,100,96,100,92,100,92,100,98,87,100,100,92,69,89.6,100,92,100,100,98
85,65,65,0.02,9,0,2,1,1,77,85,81,75,67,63,78,75,48,72,29,68,88,83,85,70.6,65,68,86,88,76.75
86,65,75,0.02,9,1,2,1,2,68,66,58,54,62,42,65,58,38,57,27,51,65,63,86,58.4,57,55,60,71,60.75
106,26,67,0.02,4,0,2,1,1,96,92,96,77,88,69,96,35,80,81,62,77,88,62,106,79,81,88,73,65,76.75
125,40,100,0.02,6,NA,3,2,1,90,83,90,70,93,83,53,69,63,77,58,83,93,85,125,88.8,88,88,95,93,91
138,41,56,0.02,6,0,3,2,2,85,95,98,78,85,76,95,61,85,84,73,93,98,73,138,95,71,73,61,66,67.75
158,37,82,0.02,5,0,3,2,1,92,89,95,73,92,72,97,78,84,86,73,84,86,89,158,98,89,92,84,81,86.5
178,20,25,0.02,3,0,1,1,2,95,90,90,85,95,85,95,70,80,87,60,90,95,75,178,99.6,80,95,70,85,82.5
185,18,100,0.02,3,2,3,2,1,78,78,72,50,83,50,89,44,61,67,56,72,83,72,185,93.6,89,89,100,100,94.5
207,22,100,0.02,3,0,3,2,1,77,86,77,59,82,68,91,68,59,74,55,82,95,95,207,106.8,86,95,95,91,91.75
211,16,25,0.02,2,0,3,2,2,94,94,81,44,100,44,94,75,75,78,81,81,88,100,211,112.2,81,94,81,75,82.75
237,11,98,0.02,2,NA,3,2,1,100,64,73,100,82,55,82,45,45,72,45,82,91,73,237,105.6,82,73,64,82,75.25
242,43,67,0.02,6,1,3,2,2,100,91,88,72,95,77,84,67,74,83,63,84,93,79,242,112.2,88,81,84,91,86
268,15,100,0.02,2,1,3,2,1,87,80,87,73,87,53,79,33,53,70,67,73,80,80,268,113.6,100,93,100,100,98.25
291,15,57,0.02,2,1,3,2,2,87,80,87,67,93,60,93,60,80,79,53,87,87,67,291,117,93,87,87,67,83.5
300,20,56,0.02,3,0,3,2,1,90,70,70,65,95,50,85,50,65,71,45,75,80,95,300,119,85,75,75,80,78.75
318,69,65,0.02,10,1,3,2,1,86,72,57,77,93,68,93,78,57,76,71,79,72,86,318,125.2,81,81,68,77,76.75
339,34,45,0.02,5,1,3,2,1,94,100,94,74,97,68,97,76,88,88,62,94,100,88,339,136.6,88,91,85,94,89.5
348,26,65,0.02,4,0,3,2,2,100,92,96,88,88,73,92,69,88,88,88,96,100,100,348,146.4,92,100,85,81,89.5
362,16,86,0.02,2,2,3,2,1,69,75,69,69,50,38,75,44,60,61,44,56,81,75,362,123.6,81,81,75,81,79.5
382,32,86,0.02,5,0,2,1,1,100,84,66,53,81,16,78,38,16,59,41,69,69,75,382,127.2,81,81,81,66,77.25
401,61,45,0.02,9,0,2,1,2,95,85,82,56,97,54,93,75,67,78,43,72,88,75,401,135.8,82,85,80,89,84
435,69,24,0.02,10,0,2,1,2,96,97,99,81,97,83,97,91,96,93,71,91,91,87,435,155,90,96,87,87,90
445,18,54,0.02,3,1,3,2,1,100,94,94,83,94,67,100,78,89,89,83,100,100,83,445,162.2,94,100,94,89,94.25
474,23,45,0.02,3,2,3,2,2,91,96,100,78,96,78,100,61,91,88,87,87,91,96,474,167,96,96,91,91,93.5
494,51,35,0.02,7,2,3,2,2,84,88,86,71,94,57,94,55,76,78,73,96,98,84,494,169,76,88,86,90,85
513,31,56,0.02,4,2,1,1,1,94,87,94,77,97,68,97,77,87,86,74,87,81,77,513,166.4,84,81,71,77,78.25
526,27,75,0.02,4,0,3,2,1,89,89,89,74,100,67,96,59,74,82,89,93,96,93,526,179.4,89,100,96,89,93.5
540,15,26,0.02,2,2,3,2,2,93,100,100,93,100,100,93,67,73,91,80,100,100,100,540,184,87,93,93,87,90
583,44,61,0.02,6,0,3,2,2,66,91,82,66,86,68,84,61,84,76,77,72,81,86,583,179.8,77,80,82,70,77.25
604,49,65,0.02,7,0,3,2,1,92,96,96,92,98,85,94,59,88,89,71,86,90,88,604,187.8,90,82,86,90,87
635,51,48,0.02,7,0,3,2,2,59,61,37,53,73,35,74,51,31,53,37,43,35,57,635,161.4,65,37,39,59,50
642,25,87,0.02,4,0,3,2,1,68,84,84,64,80,48,76,64,80,72,48,76,80,64,642,182,60,80,56,76,68
672,30,82,0.02,4,0,2,1,1,87,87,87,67,83,57,90,77,70,78,53,80,83,90,672,195.6,73,83,69,63,72
697,47,65,0.02,7,2,2,1,2,87,83,85,85,94,72,87,57,72,80,81,94,96,93,697,212.2,85,91,85,74,83.75
723,14,75,0.02,2,1,2,1,1,93,100,100,79,100,57,100,64,79,86,86,93,100,86,723,217.6,100,86,93,100,94.75
736,20,35,0.02,3,0,3,2,2,95,100,90,80,100,75,100,75,90,89,95,95,100,95,736,224.2,95,100,95,100,97.5
754,17,57,0.02,2,0,3,2,1,65,88,82,59,100,59,100,65,59,75,82,88,88,88,754,220,88,88,94,82,88
783,69,67,0.02,10,2,1,1,1,88,91,90,78,93,65,96,75,85,84,81,84,73,87,783,221.6,81,94,72,79,81.5
784,55,25,0.02,8,2,2,1,2,93,87,82,65,96,56,95,67,85,81,73,87,76,87,784,221.4,82,87,75,71,78.75
812,41,87,0.02,6,0,2,1,1,83,73,78,85,88,63,90,61,61,76,71,73,76,85,812,223.4,78,83,73,76,77.5
841,26,65,0.02,4,1,1,1,1,77,88,88,88,85,65,96,62,73,80,77,88,77,96,841,235.8,92,96,77,81,86.5
851,20,45,0.02,3,0,1,1,2,85,85,80,65,85,50,80,45,70,72,75,85,95,85,851,238.2,85,95,85,85,87.5
874,59,35,0.02,8,1,1,1,1,86,80,81,76,86,56,86,59,78,77,83,85,75,83,874,240,92,93,90,69,86
899,38,67,0.02,5,0,1,1,2,92,82,84,79,92,65,89,68,74,81,82,95,95,87,899,251.6,89,92,84,79,86
904,25,35,0.02,4,1,2,1,1,96,96,92,80,96,68,96,88,80,88,76,92,100,100,904,254.4,84,88,88,80,85
925,51,65,0.02,7,0,1,1,1,92,96,94,82,94,82,94,80,88,89,86,88,82,92,925,254.6,86,92,84,88,87.5
1,13,100,0.03,2,0,3,2,1,100,100,100,85,100,92,92,77,77,91,92,92,92,92,1,73.8,92,92,85,92,90.25
28,12,58,0.03,2,0,1,1,1,100,75,58,75,75,67,58,50,42,67,50,83,100,67,28,65.6,58,75,67,67,66.75
49,10,62,0.03,1,0,1,1,1,90,100,100,100,100,100,100,100,100,99,100,100,100,100,49,89.8,100,100,100,100,100
82,24,58,0.03,3,0,1,1,1,63,67,67,63,58,54,63,54,46,59,46,42,75,71,82,63.2,54,58,54,54,55
103,42,65,0.03,6,1,1,1,1,93,90,90,83,93,62,93,62,83,83,74,88,100,67,103,86.4,81,86,81,83,82.75
122,60,96,0.03,9,0,2,1,1,70,77,83,47,83,57,51,70,62,67,32,73,85,80,122,78.4,72,75,80,90,79.25
155,47,100,0.03,7,NA,2,1,1,94,89,83,79,94,77,91,68,66,82,53,77,89,81,155,91,83,85,74,79,80.25
180,56,65,0.03,8,0,2,1,1,96,93,91,70,95,65,96,79,87,86,64,86,98,93,180,104.2,84,89,89,87,87.25
231,46,56,0.03,7,0,1,1,1,93,100,91,83,91,80,98,89,89,91,76,89,100,85,231,116.2,80,91,91,93,88.75
262,13,49,0.03,2,1,1,1,1,100,100,100,69,100,92,92,67,92,90,77,100,100,85,262,124.8,85,92,85,85,86.75
292,45,67,0.03,6,0,1,1,1,98,96,91,84,96,82,93,58,87,87,67,78,78,69,292,116.8,71,67,76,78,73
312,66,75,0.03,9,3,3,2,1,79,59,45,70,80,53,88,45,35,62,47,62,61,77,312,111.8,73,68,58,61,65
333,31,86,0.03,4,0,2,1,1,81,74,80,68,94,71,77,58,68,74,71,87,87,73,333,130.2,74,71,68,65,69.5
359,37,65,0.03,5,1,1,1,1,81,65,62,70,78,49,73,59,49,65,41,65,76,70,359,122.2,73,76,76,76,75.25
379,21,75,0.03,3,1,1,1,1,100,86,71,81,90,71,95,67,76,82,57,95,90,86,379,141.4,76,81,90,71,79.5
427,54,65,0.03,8,0,1,1,1,100,100,100,89,96,85,98,81,100,94,81,100,98,93,427,159.8,93,98,94,94,94.75
510,40,56,0.03,6,2,3,2,1,98,98,100,95,100,93,98,74,85,93,85,95,93,83,510,173.2,88,98,93,95,93.5
522,13,65,0.03,2,0,2,1,1,69,85,85,85,85,92,85,46,69,78,54,69,77,69,522,158.2,77,77,62,77,73.25
597,14,45,0.03,2,0,2,1,1,100,93,86,79,100,71,93,64,86,86,79,79,71,79,597,181,71,71,71,86,74.75
638,49,56,0.03,7,1,2,1,1,84,90,88,63,78,61,71,65,76,75,67,78,76,76,638,187,63,69,65,63,65
669,22,100,0.03,3,0,2,1,1,77,77,73,68,91,45,82,55,59,70,59,64,77,68,669,187.4,68,77,59,55,64.75
2,41,67,0.04,6,0,2,1,1,93,98,93,90,100,88,90,59,85,88,59,80,88,83,2,62.4,83,85,85,85,84.5
13,30,25,0.04,4,0,2,1,2,100,100,97,77,100,83,97,80,97,92,80,93,100,67,13,70.6,80,70,60,67,69.25
25,17,58,0.04,2,1,1,1,1,88,76,76,65,88,41,82,41,47,67,76,82,88,88,25,71.8,82,82,76,76,79
31,14,75,0.04,2,1,1,1,1,93,93,93,79,86,86,86,79,93,87,86,100,100,93,31,82,93,100,100,93,96.5
43,57,65,0.04,8,2,1,1,1,95,93,91,70,95,64,96,77,88,85,67,86,98,93,43,77.4,84,89,89,88,87.5
55,19,87,0.04,3,1,1,1,1,58,53,56,32,74,21,53,53,16,46,32,53,79,53,55,54.4,63,68,58,53,60.5
59,20,24,0.04,3,0,1,1,2,95,100,95,95,100,80,95,90,100,94,95,95,90,90,59,85.8,100,85,90,100,93.75
76,28,85,0.04,4,1,1,1,1,57,71,68,71,68,63,68,54,52,64,57,68,75,68,76,68.8,61,79,61,61,65.5
83,42,48,0.04,6,0,1,1,1,71,81,67,71,81,69,67,76,60,71,50,64,88,76,83,72.2,88,74,81,90,83.25
97,70,67,0.04,10,1,3,2,1,94,84,86,69,91,61,96,74,76,81,63,89,91,86,97,85.2,89,87,81,87,86
104,45,65,0.04,6,2,3,2,1,93,89,89,82,91,67,98,33,75,80,51,73,89,58,104,75,84,87,80,76,81.75
117,13,52,0.04,2,1,3,2,1,85,77,92,69,100,62,85,69,69,79,77,85,100,77,117,91.2,85,85,85,85,85
123,65,88,0.04,9,1,2,1,1,80,78,85,63,80,74,49,71,62,71,32,72,88,78,123,78.6,80,68,75,78,75.25
128,30,65,0.04,4,1,2,1,2,76,80,87,60,87,50,80,60,70,72,72,93,93,87,128,94.6,93,87,86,90,89
139,34,87,0.04,5,0,2,1,1,100,97,91,97,100,94,97,71,79,92,62,91,88,82,139,92.4,76,82,79,79,79
156,44,57,0.04,6,0,3,2,1,98,93,89,70,95,75,91,75,84,86,75,89,93,91,156,100.8,89,84,84,80,84.25
162,36,2,0.04,5,0,3,2,2,75,89,81,56,97,53,92,64,72,75,75,75,83,86,162,96.2,83,83,67,67,75
170,39,61,0.04,6,0,3,2,1,95,95,85,90,95,77,90,59,82,85,85,95,97,77,170,104.8,85,90,77,85,84.25
181,35,52,0.04,5,0,1,1,1,97,94,89,66,97,60,97,80,83,85,57,89,97,94,181,103.6,83,89,91,89,88
193,26,88,0.04,4,1,3,2,1,88,65,73,73,81,73,81,46,69,72,58,77,92,81,193,100.2,85,81,73,69,77
199,56,65,0.04,8,0,3,2,2,84,79,91,57,89,46,93,89,73,78,68,93,91,96,199,109.4,95,100,93,95,95.75
219,48,65,0.04,7,0,3,2,1,90,92,96,73,98,67,94,92,75,86,62,90,96,46,219,102.6,83,71,77,85,79
232,47,45,0.04,7,0,3,2,1,96,96,94,77,94,66,94,94,89,89,68,89,98,81,232,113.6,74,81,81,87,80.75
235,33,61,0.04,5,2,3,2,2,100,85,84,82,88,67,88,61,67,80,64,94,97,88,235,115.6,88,79,76,82,81.25
256,50,65,0.04,7,2,3,2,1,96,90,90,74,90,76,86,72,80,84,74,76,84,78,256,113.6,86,72,76,84,79.5
257,47,58,0.04,7,0,2,1,2,79,66,49,36,72,64,83,32,30,57,40,68,87,72,257,104.8,68,74,60,66,67
266,39,65,0.04,6,0,2,1,1,82,69,62,59,72,49,69,36,46,60,54,87,90,77,266,114.8,85,77,67,77,76.5
278,69,75,0.04,10,2,2,1,1,96,96,91,75,99,78,90,54,80,84,51,90,97,86,278,120.4,77,74,75,74,75
281,45,24,0.04,6,0,3,2,2,91,100,98,84,100,78,93,61,96,89,71,91,96,84,281,124.6,93,82,89,93,89.25
298,36,56,0.04,5,0,3,2,1,86,100,97,69,94,81,89,78,92,87,75,81,72,72,298,119.6,92,94,94,89,92.25
309,67,86,0.04,10,0,1,1,1,81,61,43,64,73,63,88,57,52,65,69,70,63,79,309,118,66,52,55,64,59.25
313,62,65,0.04,9,0,2,1,2,82,74,61,84,95,68,98,76,66,78,63,82,68,84,313,122,92,81,71,90,83.5
314,65,75,0.04,9,1,2,1,1,89,68,48,63,83,45,95,69,49,68,46,65,62,78,314,113,77,66,72,72,71.75
329,18,57,0.04,3,2,1,1,1,67,61,56,94,83,72,89,78,56,73,72,67,78,83,329,125.8,61,94,56,67,69.5
335,11,65,0.04,2,0,1,1,1,100,100,100,64,100,91,100,45,73,86,73,100,100,91,335,139.8,91,73,82,64,77.5
337,53,57,0.04,8,3,1,1,2,87,92,91,79,91,79,92,62,81,84,66,87,87,98,337,135,79,85,83,83,82.5
357,18,75,0.04,3,0,1,1,2,94,89,89,89,83,78,94,61,78,84,89,100,94,89,357,145.8,89,94,100,100,95.75
360,27,100,0.04,4,0,2,1,1,70,63,59,78,59,41,63,56,44,59,30,70,70,56,360,117.2,85,85,93,78,85.25
372,56,65,0.04,8,1,1,1,1,98,86,84,68,98,63,80,43,61,76,59,91,98,88,372,141.6,77,88,79,71,78.75
380,19,65,0.04,3,2,3,2,1,84,58,63,53,79,58,79,53,58,65,63,58,74,74,380,129.8,74,68,68,63,68.25
391,13,45,0.04,2,0,1,1,2,69,77,77,85,92,62,85,31,62,71,77,85,85,77,391,143,77,46,85,69,69.25
398,30,65,0.04,4,0,3,2,1,97,90,93,73,100,67,97,77,93,87,73,93,97,97,398,151.6,80,83,90,90,85.75
416,38,45,0.04,5,1,3,2,2,95,89,92,55,95,58,89,71,82,81,71,92,95,84,416,151.6,92,97,95,95,94.75
426,64,50,0.04,9,0,3,2,2,97,98,95,75,97,72,98,86,89,90,72,95,97,94,426,156.8,94,95,97,98,96
431,35,84,0.04,5,1,2,1,1,100,97,97,71,94,77,97,86,83,89,51,77,80,86,431,145,74,86,77,94,82.75
443,36,65,0.04,5,2,2,1,2,94,97,97,83,97,72,94,78,89,89,72,97,100,89,443,160.2,91,97,94,86,92
456,21,65,0.04,3,0,2,1,1,95,100,95,71,100,81,100,71,81,88,81,90,90,86,456,160.6,71,71,67,57,66.5
465,12,24,0.04,2,0,3,2,2,100,100,100,100,100,92,100,92,92,97,92,92,100,92,465,168.2,100,100,100,92,98
488,11,65,0.04,2,1,3,2,2,100,91,91,82,100,64,91,55,82,84,73,100,100,100,488,172.2,91,100,100,91,95.5
511,37,76,0.04,5,0,3,2,1,92,89,86,73,95,78,95,68,73,83,69,84,81,84,511,165.8,89,86,92,92,89.75
521,21,75,0.04,3,1,1,1,1,100,95,90,76,100,90,86,62,81,87,76,95,90,95,521,175.4,100,90,90,90,92.5
523,23,65,0.04,3,1,3,2,1,87,87,96,78,100,91,100,61,83,87,74,87,91,83,523,171.6,91,87,87,96,90.25
