     Y4 D1 D2       M1     M1.f
736   0  0  0 -0.67528 -0.67528
737   1  1  0 -0.67528 -0.67528
738   1  1  1  0.39408  0.39408
739   0  0  1 -1.60301 -1.60301
740   0  1  0  0.39408  0.39408
741   1  1  0  0.39408  0.39408
742   0  1  1 -1.01711 -1.01711
743   1  1  0 -0.13866 -0.13866
744   0  1  0  1.74210   1.7421
745   0  0  0 -1.60301 -1.60301
746   0  1  0 -1.60301 -1.60301
747   0  0  1 -0.13866 -0.13866
748   0  1  0 -0.13866 -0.13866
749   0  1  0 -1.01711 -1.01711
750   0  0  1 -0.67528 -0.67528
751   0  0  0  0.12101  0.12101
752   0  0  0  1.74210   1.7421
753   0  1  0 -0.40867 -0.40867
754   0  0  0 -0.13866 -0.13866
755   0  1  1 -0.13866 -0.13866
756   0  1  0 -1.60301 -1.60301
757   0  0  0 -1.01711 -1.01711
758   0  0  0 -0.40867 -0.40867
759   0  1  1  1.02629  1.02629
760   1  0  1  0.12101  0.12101
761   0  1  1 -0.40867 -0.40867
762   0  1  1 -1.01711 -1.01711
763   1  1  0  0.68770   0.6877
764   0  0  1 -1.01711 -1.01711
765   1  1  0  0.39408  0.39408
766   0  0  0  1.02629  1.02629
767   1  1  1 -0.67528 -0.67528
768   0  0  0 -1.60301 -1.60301
769   1  0  1 -1.60301 -1.60301
770   0  0  0  1.74210   1.7421
771   1  0  1  1.74210   1.7421
772   0  1  0 -0.67528 -0.67528
773   1  1  1 -1.01711 -1.01711
774   0  0  1 -0.67528 -0.67528
775   0  1  0 -0.13866 -0.13866
776   0  0  1  0.12101  0.12101
777   0  0  0  1.74210   1.7421
778   1  0  1  0.68770   0.6877
779   0  1  1 -0.40867 -0.40867
780   1  1  1  0.68770   0.6877
781   0  1  1 -1.60301 -1.60301
782   0  0  0 -1.01711 -1.01711
783   0  0  0 -1.60301 -1.60301
784   1  1  1 -1.60301 -1.60301
785   1  1  1  0.12101  0.12101
786   1  1  1 -0.40867 -0.40867
787   0  0  0  1.02629  1.02629
788   1  1  0  1.02629  1.02629
789   1  0  1 -0.67528 -0.67528
790   0  0  0  0.39408  0.39408
791   0  1  0 -0.67528 -0.67528
792   0  0  1 -1.60301 -1.60301
793   1  1  1  0.39408  0.39408
794   0  0  0  1.02629  1.02629
795   1  0  1  1.74210   1.7421
796   1  1  1 -1.60301 -1.60301
797   0  0  0  1.74210   1.7421
798   1  1  0 -0.13866 -0.13866
799   0  0  0  1.02629  1.02629
800   0  1  0 -1.01711 -1.01711
801   0  1  0 -0.40867 -0.40867
802   1  1  1  0.12101  0.12101
803   0  0  0 -0.13866 -0.13866
804   0  0  1  1.74210   1.7421
805   0  0  1 -0.13866 -0.13866
806   0  0  1  1.74210   1.7421
807   0  0  0  1.74210   1.7421
808   0  0  0 -0.13866 -0.13866
809   1  0  1  0.68770   0.6877
810   0  0  1 -0.67528 -0.67528
811   1  1  0  0.68770   0.6877
812   0  1  1 -0.67528 -0.67528
813   0  0  0 -1.60301 -1.60301
814   0  0  1  1.74210   1.7421
815   1  1  1  1.74210   1.7421
816   0  0  0  1.02629  1.02629
817   0  1  1  0.39408  0.39408
818   1  1  0 -0.40867 -0.40867
819   1  1  1  1.02629  1.02629
820   0  0  1 -0.40867 -0.40867
821   1  0  1  1.02629  1.02629
822   1  1  0  0.12101  0.12101
823   1  1  1  0.39408  0.39408
824   0  0  0 -1.60301 -1.60301
825   0  0  1  0.12101  0.12101
826   0  0  0  0.68770   0.6877
827   0  0  1 -1.01711 -1.01711
828   0  1  1 -0.40867 -0.40867
829   1  0  0 -0.67528 -0.67528
830   0  0  0 -0.40867 -0.40867
831   0  1  0 -1.60301 -1.60301
832   0  0  0 -1.01711 -1.01711
833   0  0  0  1.02629  1.02629
834   0  1  1 -0.67528 -0.67528
835   1  1  0  1.02629  1.02629
836   1  0  1 -0.13866 -0.13866
837   0  0  1 -0.13866 -0.13866
838   1  1  1  0.68770   0.6877
839   0  0  1 -0.67528 -0.67528
840   0  0  0 -0.13866 -0.13866
841   0  0  1 -0.13866 -0.13866
842   0  1  0 -0.67528 -0.67528
843   1  1  1  0.12101  0.12101
844   0  0  0 -0.40867 -0.40867
845   0  1  0 -0.40867 -0.40867
846   1  0  0  0.12101  0.12101
847   1  0  1  1.02629  1.02629
848   0  0  0 -1.01711 -1.01711
849   0  1  0 -0.67528 -0.67528
850   0  0  0 -1.01711 -1.01711
851   1  1  1  0.12101  0.12101
852   0  0  0  0.12101  0.12101
853   1  1  1 -0.67528 -0.67528
854   0  0  0  0.68770   0.6877
855   0  0  1  0.12101  0.12101
856   1  0  1  0.39408  0.39408
857   0  1  1 -0.67528 -0.67528
858   0  1  1 -1.60301 -1.60301
859   0  1  1 -0.67528 -0.67528
860   0  0  0 -1.01711 -1.01711
861   0  1  0 -1.01711 -1.01711
862   0  0  1  0.39408  0.39408
863   0  1  0  0.68770   0.6877
864   1  1  0 -1.01711 -1.01711
865   1  1  1  1.02629  1.02629
866   0  0  1  0.12101  0.12101
867   1  0  1  0.68770   0.6877
868   0  1  1 -1.60301 -1.60301
869   0  1  0 -1.01711 -1.01711
870   1  0  1  0.68770   0.6877
871   1  0  1  0.68770   0.6877
872   0  1  0 -0.40867 -0.40867
873   0  0  0 -0.13866 -0.13866
874   0  0  0  0.12101  0.12101
875   1  1  0  0.68770   0.6877
876   0  0  0  0.39408  0.39408
877   0  1  1 -0.67528 -0.67528
878   0  0  0 -0.13866 -0.13866
879   0  0  0  0.68770   0.6877
880   1  1  1  0.12101  0.12101
881   1  1  1  0.12101  0.12101
882   1  1  1 -1.01711 -1.01711
883   0  1  0  0.39408  0.39408
884   0  1  1 -1.60301 -1.60301
885   0  0  0  0.12101  0.12101
886   0  1  0  1.74210   1.7421
887   1  1  1  0.12101  0.12101
888   1  1  1  1.02629  1.02629
889   1  0  1 -1.01711 -1.01711
890   1  1  0  0.68770   0.6877
891   1  1  0  0.39408  0.39408
892   1  0  0  0.68770   0.6877
893   1  1  1  1.02629  1.02629
894   0  1  0 -1.60301 -1.60301
895   1  1  1  0.12101  0.12101
896   1  0  0 -1.01711 -1.01711
897   1  1  0 -1.01711 -1.01711
898   0  0  0  1.74210   1.7421
899   1  0  1 -0.13866 -0.13866
900   1  1  0  0.39408  0.39408
901   0  0  0 -0.40867 -0.40867
902   0  1  0  0.12101  0.12101
903   0  1  0  1.74210   1.7421
904   0  0  0 -0.67528 -0.67528
905   0  0  0 -0.67528 -0.67528
906   0  1  0  0.68770   0.6877
907   0  0  1  1.02629  1.02629
908   1  1  1  0.68770   0.6877
909   0  0  0 -1.01711 -1.01711
910   0  1  0 -0.40867 -0.40867
911   0  0  0 -0.67528 -0.67528
912   0  0  0  1.02629  1.02629
913   0  1  0  0.68770   0.6877
914   0  0  1 -0.67528 -0.67528
915   0  1  0 -0.67528 -0.67528
916   1  0  1  0.39408  0.39408
917   0  0  0 -0.40867 -0.40867
918   1  1  1  0.39408  0.39408
919   0  0  0 -0.13866 -0.13866
920   0  0  0 -0.40867 -0.40867
921   0  1  0 -1.01711 -1.01711
922   0  1  1 -0.40867 -0.40867
923   0  0  0  1.02629  1.02629
924   0  0  0 -1.60301 -1.60301
925   0  1  0 -0.13866 -0.13866
926   0  0  1  1.02629  1.02629
927   1  0  1 -0.67528 -0.67528
928   1  1  0  1.74210   1.7421
929   1  1  1  0.68770   0.6877
930   1  1  0  1.74210   1.7421
931   0  1  0 -0.67528 -0.67528
932   1  1  0  0.68770   0.6877
933   0  1  0 -0.40867 -0.40867
934   0  1  0 -1.01711 -1.01711
935   0  1  1 -1.60301 -1.60301
936   0  1  0  1.02629  1.02629
937   1  1  1  1.02629  1.02629
938   1  0  0 -0.13866 -0.13866
939   0  1  1  0.39408  0.39408
940   0  0  0 -1.60301 -1.60301
941   0  0  0  1.74210   1.7421
942   0  0  1 -0.67528 -0.67528
943   1  0  0  1.02629  1.02629
944   0  0  1  0.39408  0.39408
945   1  1  1  1.74210   1.7421
946   0  0  0 -1.01711 -1.01711
947   0  0  0  1.02629  1.02629
948   0  1  1 -1.60301 -1.60301
949   0  1  0 -1.01711 -1.01711
950   0  0  1  0.12101  0.12101
951   0  1  0 -0.40867 -0.40867
952   0  0  0 -0.67528 -0.67528
953   0  0  0  0.39408  0.39408
954   0  1  1  0.68770   0.6877
955   1  1  1  0.12101  0.12101
956   1  1  0 -0.40867 -0.40867
957   0  0  1  0.68770   0.6877
958   1  0  1  0.68770   0.6877
959   1  1  1  0.39408  0.39408
960   1  1  1  1.74210   1.7421
961   0  0  0 -1.01711 -1.01711
962   1  1  0 -0.67528 -0.67528
963   1  1  0 -1.01711 -1.01711
964   0  0  1  1.02629  1.02629
965   1  1  0  1.74210   1.7421
966   0  1  0 -0.13866 -0.13866
967   1  1  1  0.12101  0.12101
968   0  1  0  1.74210   1.7421
969   1  1  0 -0.67528 -0.67528
970   1  1  1  1.74210   1.7421
971   0  1  0 -1.01711 -1.01711
972   1  1  0  0.12101  0.12101
973   0  0  1  0.68770   0.6877
974   1  1  0  1.02629  1.02629
975   0  0  0 -0.67528 -0.67528
976   1  0  1  1.02629  1.02629
977   1  0  1  0.68770   0.6877
978   0  1  0 -1.01711 -1.01711
979   0  1  0 -1.01711 -1.01711
980   0  0  1  1.02629  1.02629
981   1  1  0  1.74210   1.7421
982   0  1  0 -1.01711 -1.01711
983   1  0  0  1.74210   1.7421
984   0  0  1 -0.40867 -0.40867
985   0  0  1  1.74210   1.7421
986   0  0  1 -1.60301 -1.60301
987   0  1  0 -0.67528 -0.67528
988   1  1  1 -0.40867 -0.40867
989   0  0  1  1.02629  1.02629
990   0  0  1 -0.67528 -0.67528
991   1  1  1 -0.13866 -0.13866
992   0  0  0  1.02629  1.02629
993   1  1  1 -0.13866 -0.13866
994   1  0  1 -0.40867 -0.40867
995   0  1  0  1.02629  1.02629
996   1  0  0 -0.13866 -0.13866
997   1  1  0 -0.67528 -0.67528
998   1  0  1  1.74210   1.7421
999   1  1  0  0.12101  0.12101
1000  1  0  1 -0.40867 -0.40867
